Food Category,Food Name,Stall Name,Price,Calories,Protein,Carbohydrates,Fat,Fiber,Sugar,Sodium,Egg-Free,Gluten Free,Dairy Free,Fish Free,Shellfish Free,Peanut free,Treenut Free,Soy Free,Wheat Free
Chicken Dishes,Chicken Teriyaki,Grilled's,90,506,30.3,57,19.4,1.6,8.1,802,0,0,1,1,1,1,1,0,0
Chicken Dishes,Crispy Chicken,PotDog,75,526,24.3,60,24.4,1.6,2.1,702,0,0,1,1,1,1,1,1,1
Pork Dishes,Crispy Siomai,PotDog,65,296,10.3,50,8.4,0.6,1.1,182,0,0,1,1,0,1,1,0,0
Seafood Dishes,Crunchy Squid,PotDog,75,286,10.3,49,8.4,0.6,1.1,202,1,0,1,0,0,1,1,0,0
Seafood Dishes,Shark's Fin Siomai,PotDog,65,286,10.3,49,8.4,0.6,1.1,182,0,0,1,1,0,1,1,0,0
Seafood Dishes,Squid Nugget,PotDog,65,296,10.3,50,8.4,0.6,1.1,202,1,0,1,0,0,1,1,0,0
Chicken Dishes,Flavored Fried Chicken,Tapsi Royale,85,583,25.3,51,25.4,0.6,0.1,902,0,0,1,1,1,1,1,0,0
Mixed Dishes,Cheesy Meat w/ rice,Tapsi Royale,85,656,24.3,105,19.4,3.6,4.1,1102,0,0,0,1,1,1,1,0,0
Beef Dishes,Burger Steak w/ rice,Tapsi Royale,65,626,29.3,95,19.4,3.6,2.1,902,1,1,1,1,1,1,1,1,1
Pork Dishes,Sweet & Sour Meatballs,Tapsi Royale,85,456,19.3,60,19.4,2.6,8.1,702,1,1,1,1,1,1,1,1,1
Pork Dishes,Longsilog,Tapsi Royale,90,556,24.3,75,19.4,2.6,3.1,902,0,0,1,1,1,1,1,0,0
Beef Dishes,Beef Tapa w/ Rice,Tapsi Royale,85,606,29.3,90,19.4,2.6,3.1,952,1,1,1,1,1,1,1,1,1
Pork Dishes,Tapsilog,Tapsi Royale,99,586,26.3,85,18.4,2.6,2.1,852,0,0,1,1,1,1,1,0,0
Pork Dishes,Porkchop & Gravy,Tapsi Royale,85,656,32.3,60,34.4,1.6,2.1,902,0,0,1,1,1,1,1,0,0
Seafood Dishes,Fish Fillet w/ Rice,Tapsi Royale,85,526,24.3,75,14.4,1.6,1.1,702,1,0,0,0,1,1,1,0,0
Pork Dishes,Sisig w/ rice,Tapsi Royale,85,656,29.3,85,24.4,2.6,3.1,1102,0,0,1,1,1,1,1,0,0
Pork Dishes,Dimsum Rice 4PCS. Siomai,?,55,656,29.3,100,19.4,2.6,2.1,1002,0,0,1,1,1,1,1,0,0
Beef Dishes,Beef Tapa w/ Rice,?,85,606,29.3,90,19.4,2.6,3.1,952,1,1,1,1,1,1,1,1,1
Beef Dishes,Beef With Mushroom,?,85,556,34.3,55,24.4,2.6,2.1,802,1,1,1,1,1,1,1,1,1
Beef Dishes,Beef Caldereta,?,85,606,29.3,65,29.4,2.6,4.1,902,0,0,1,1,1,1,1,0,0
Beef Dishes,Beef Teriyaki,?,85,556,34.3,65,19.4,1.6,5.1,852,0,0,1,1,1,1,1,0,0
Beef Dishes,Beef Brocolli,?,85,526,29.3,65,19.4,3.6,3.1,802,1,1,1,1,1,1,1,1,1
Beef Dishes,Beef Nilaga,?,85,506,24.3,65,19.4,2.6,2.1,702,1,1,1,1,1,1,1,1,1
Pork Dishes,Crispy Sisig,?,75,656,29.3,60,34.4,2.6,2.1,902,0,0,1,1,1,1,1,0,0
Pork Dishes,Lechon Kawali,?,75,706,29.3,55,44.4,1.6,2.1,952,1,1,1,1,1,1,1,0,1
Pork Dishes,Lechon Paksiw,?,75,686,29.3,57,39.4,1.6,3.1,902,1,1,1,1,1,1,1,0,1
Pork Dishes,Giniling with Egg,?,75,556,24.3,60,24.4,2.6,2.1,802,0,1,0,1,1,1,1,0,1
Pork Dishes,Menudo,?,75,606,29.3,65,29.4,2.6,4.1,902,0,0,0,1,1,1,1,0,0
Pork Dishes,Porkchop Steak,?,75,656,32.3,60,34.4,1.6,2.1,902,1,1,1,1,1,1,1,0,1
Pork Dishes,Bopis,?,75,506,24.3,55,24.4,1.6,2.1,802,1,1,1,1,1,1,1,0,1
Pork Dishes,Dinuguan,?,75,461,38.3,55,24.4,1.6,2.1,322,1,1,1,1,1,1,1,0,1
Pork Dishes,Bicol Express,?,75,624,31.3,56,35.4,1.6,4.1,209,1,1,1,1,1,1,1,0,1
Pork Dishes,Binagoongan,?,75,506,24.3,53,26.4,1.6,3.1,952,1,1,1,1,1,1,1,0,1
Pork Dishes,Pork BBQ,?,35,456,22.3,55,20.4,1.6,5.1,702,1,1,1,1,1,1,1,0,1
Chicken Dishes,Fried Chicken,?,65,583,25.3,51,25.4,0.6,0.1,902,1,0,1,1,1,1,1,0,0
Chicken Dishes,Chicken Ala Max,?,65,556,34.3,57,19.4,1.6,2.1,752,1,0,1,1,1,1,1,0,0
Chicken Dishes,Chicken Adobo,?,65,556,29.3,55,24.4,1.6,2.1,802,1,0,1,1,1,1,1,0,0
Chicken Dishes,Chicken Ala King,?,65,586,34.3,60,22.4,2.6,3.1,852,1,0,0,1,1,1,1,0,0
Chicken Dishes,Chicken Pastel,?,65,606,29.3,65,26.4,2.6,3.1,902,1,0,0,1,1,1,1,0,0
Chicken Dishes,Chicken Afritada,?,65,556,29.3,65,19.4,3.6,4.1,802,1,0,0,1,1,1,1,0,0
Chicken Dishes,Chicken Fillet,?,50,496,32.3,49,22.4,0.6,0.1,822,1,0,1,1,1,1,1,0,0
Vegetable Dishes,Tortang Talong,?,55,356,12.3,55,12.4,2.6,3.1,352,0,0,1,1,1,1,1,1,0
Vegetable Dishes,Ginataang Kalabasa at Sitaw,?,55,406,9.3,63,16.4,3.6,5.1,402,1,1,1,0,0,1,1,1,1
Vegetable Dishes,Ginataang Langka,?,55,386,8.3,65,14.4,4.6,5.1,352,1,1,1,0,0,1,1,1,1
Vegetable Dishes,Kilawing Puso ng Saging,?,55,366,8.3,60,14.4,3.6,4.1,302,1,1,1,0,0,1,1,1,1
Vegetable Dishes,Chopseuy,?,55,356,12.3,57,12.4,3.6,4.1,352,1,1,1,0,0,1,1,0,1
Vegetable Dishes,Vegetable Supreme,?,55,326,8.3,55,11.4,3.6,3.1,252,1,1,1,1,1,1,1,1,1
Vegetable Dishes,Mixed Vegetables,?,55,286,7.3,55,7.4,3.6,4.1,202,1,1,1,1,1,1,1,1,1
Breakfast Dishes,Pancakes,Chef Alde's,100,227,6,38,6,1,8,450,0,0,0,1,1,1,1,0,0
Breakfast Dishes,"Pandesal (Corned Tuna or Beef, Ham & Cheese)",Chef Alde's,100,300,12,40,10,2,6,600,0,0,0,1,1,1,1,0,0
Chicken Dishes,Chicken Crackling,Chef Alde's,50,150,8,6,10,0,0,400,1,0,1,1,1,1,1,0,0
Appetizers,Spring Roll,Chef Alde's,60,120,4,15,5,1,2,300,1,0,1,1,1,1,1,0,0
Appetizers,Shanghai,Chef Alde's,60,250,12,20,15,2,3,500,0,0,1,1,1,1,1,0,0
Appetizers,Turon,Chef Alde's,60,180,2,30,5,2,15,200,0,0,1,1,1,1,1,1,0
Appetizers,Okoy,Chef Alde's,60,150,5,18,7,1,1,350,0,0,1,1,1,1,1,0,0
Chicken Dishes,Chicken Gizzard,Chef Alde's,60,80,15,0,2,0,0,60,1,0,1,1,1,1,1,0,0
Sandwiches,Egg Drop Sandwich,Chef Alde's,90,350,15,40,15,3,6,850,0,0,0,1,1,1,1,0,0
Sandwiches,Peanut & Jelly Sandwich,Chef Alde's,60,350,12,40,15,3,18,450,0,0,0,1,1,0,1,0,0
Sandwiches,Flying Saucer,Chef Alde's,40,280,10,34,12,2,6,600,1,0,1,1,1,1,1,0,0
Appetizers,Empanada,Chef Alde's,40,200,6,22,10,2,2,300,0,0,0,1,1,1,1,0,0
Pasta Dishes,Pizza + Pasta,Dream Café,100,600,22,80,20,5,8,1100,0,0,0,1,1,1,1,0,0
Pasta Dishes,Pasta + Wings,Dream Café,130,700,30,60,35,6,5,1200,0,0,0,1,1,1,1,0,0
